# Aln mu
1.00000000e-04 2.81249154e-09
1.27427499e-04 3.58388502e-09
1.62377674e-04 4.56685243e-09
2.06913808e-04 5.81942322e-09
2.63665090e-04 7.41554283e-09
3.35981829e-04 9.44943814e-09
4.28133240e-04 1.20411800e-08
5.45559478e-04 1.53437719e-08
6.95192796e-04 1.95521822e-08
8.85866790e-04 2.49148540e-08
1.12883789e-03 3.17483727e-08
1.43844989e-03 4.04561545e-08
1.83298071e-03 5.15522631e-08
2.33572147e-03 6.56917567e-08
2.97635144e-03 8.37093598e-08
3.79269019e-03 1.06668741e-07
4.83293024e-03 1.35925305e-07
6.15848211e-03 1.73206214e-07
7.84759970e-03 2.20712343e-07
1.00000000e-02 2.81248215e-07
