# Aln mu
1.00000000e-04 1.54570699e-09
1.27427499e-04 1.96965315e-09
1.62377674e-04 2.50987714e-09
2.06913808e-04 3.19827106e-09
2.63665090e-04 4.07547421e-09
3.35981829e-04 5.19327223e-09
4.28133240e-04 6.61765430e-09
5.45559478e-04 8.43270874e-09
6.95192796e-04 1.07455872e-08
8.85866790e-04 1.36928304e-08
1.12883789e-03 1.74484286e-08
1.43844989e-03 2.22340935e-08
1.83298071e-03 2.83323466e-08
2.33572147e-03 3.61031980e-08
2.97635144e-03 4.60053995e-08
3.79269019e-03 5.86235272e-08
4.83293024e-03 7.47024917e-08
6.15848211e-03 9.51915139e-08
7.84759970e-03 1.21300162e-07
1.00000000e-02 1.54569760e-07
