# sigma mu
1.00000000e-03 9.48609382e-15
1.07189132e-03 9.48609382e-15
1.14895100e-03 9.48609382e-15
1.23155060e-03 9.48609382e-15
1.32008840e-03 9.48609382e-15
1.41499130e-03 9.48609382e-15
1.51671689e-03 9.48609382e-15
1.62575567e-03 9.48609382e-15
1.74263339e-03 9.48609382e-15
1.86791360e-03 9.48609382e-15
2.00220037e-03 9.48609382e-15
2.14614120e-03 9.48609382e-15
2.30043012e-03 9.48609382e-15
2.46581108e-03 9.48609382e-15
2.64308149e-03 9.48609382e-15
2.83309610e-03 9.48609382e-15
3.03677112e-03 9.48609382e-15
3.25508860e-03 9.48609382e-15
3.48910121e-03 9.48609382e-15
3.73993730e-03 9.48609382e-15
4.00880633e-03 9.48609382e-15
4.29700470e-03 9.48609382e-15
4.60592204e-03 9.48609382e-15
4.93704785e-03 9.48609382e-15
5.29197874e-03 9.48609382e-15
5.67242607e-03 9.48609382e-15
6.08022426e-03 9.48609382e-15
6.51733960e-03 9.48609382e-15
6.98587975e-03 9.48609382e-15
7.48810386e-03 9.48609382e-15
8.02643352e-03 9.48609382e-15
8.60346442e-03 9.48609382e-15
9.22197882e-03 9.48609382e-15
9.88495905e-03 9.48609382e-15
1.05956018e-02 9.48609382e-15
1.13573336e-02 9.48609382e-15
1.21738273e-02 9.48609382e-15
1.30490198e-02 9.48609382e-15
1.39871310e-02 9.48609382e-15
1.49926843e-02 9.48609382e-15
1.60705282e-02 9.48609382e-15
1.72258597e-02 9.48609382e-15
1.84642494e-02 9.48609382e-15
1.97916687e-02 9.48609382e-15
2.12145178e-02 9.48609382e-15
2.27396575e-02 9.48609408e-15
2.43744415e-02 9.48611176e-15
2.61267523e-02 9.48682112e-15
2.80050389e-02 9.50433695e-15
3.00183581e-02 9.78744613e-15
3.21764175e-02 1.29468885e-14
3.44896226e-02 3.84540933e-14
3.69691271e-02 1.93654945e-13
3.96268864e-02 9.31531812e-13
4.24757155e-02 3.76179452e-12
4.55293507e-02 1.27729356e-11
4.88025158e-02 3.71976881e-11
5.23109931e-02 9.48323956e-11
5.60716994e-02 2.15558230e-10
6.01027678e-02 4.43807097e-10
6.44236351e-02 8.38772743e-10
6.90551352e-02 1.47151568e-09
7.40196000e-02 2.41878276e-09
7.93409667e-02 3.75423342e-09
8.50448934e-02 5.53859481e-09
9.11588830e-02 7.81073324e-09
9.77124154e-02 1.05814993e-08
1.04737090e-01 1.38315096e-08
1.12266777e-01 1.75130539e-08
1.20337784e-01 2.15554516e-08
1.28989026e-01 2.58727294e-08
1.38262217e-01 3.03725548e-08
1.48202071e-01 3.49657608e-08
1.58856513e-01 3.95760857e-08
1.70276917e-01 4.41494987e-08
1.82518349e-01 4.86616993e-08
1.95639834e-01 5.31217068e-08
2.09704640e-01 5.75697579e-08
2.24780583e-01 6.20693179e-08
2.40940356e-01 6.66952757e-08
2.58261876e-01 7.15220450e-08
2.76828663e-01 7.66152502e-08
2.96730241e-01 8.20288289e-08
3.18062569e-01 8.78068800e-08
3.40928507e-01 9.39879983e-08
3.65438307e-01 1.00609886e-07
3.91710149e-01 1.07713102e-07
4.19870708e-01 1.15343721e-07
4.50055768e-01 1.23554930e-07
4.82410870e-01 1.32407438e-07
5.17092024e-01 1.41968582e-07
5.54266452e-01 1.52310206e-07
5.94113398e-01 1.63505729e-07
6.36824994e-01 1.75627034e-07
6.82607183e-01 1.88741965e-07
7.31680714e-01 2.02913057e-07
7.84282206e-01 2.18197815e-07
8.40665289e-01 2.34650419e-07
9.01101825e-01 2.52324346e-07
9.65883224e-01 2.71275260e-07
1.03532184e+00 2.91563516e-07
1.10975250e+00 3.13255597e-07
1.18953407e+00 3.36423787e-07
1.27505124e+00 3.61143369e-07
1.36671636e+00 3.87486919e-07
1.46497140e+00 4.15515792e-07
1.57029012e+00 4.45269608e-07
1.68318035e+00 4.76755105e-07
1.80418641e+00 5.09935947e-07
1.93389175e+00 5.44724909e-07
2.07292178e+00 5.80979437e-07
2.22194686e+00 6.18501067e-07
2.38168555e+00 6.57038794e-07
2.55290807e+00 6.96296158e-07
2.73644000e+00 7.35941606e-07
2.93316628e+00 7.75621388e-07
3.14403547e+00 8.14974051e-07
3.37006433e+00 8.53645336e-07
3.61234270e+00 8.91302269e-07
3.87203878e+00 9.27645317e-07
4.15040476e+00 9.62417792e-07
4.44878283e+00 9.95412029e-07
4.76861170e+00 1.02647226e-06
5.11143348e+00 1.05549442e-06
5.47890118e+00 1.08242344e-06
5.87278661e+00 1.10724849e-06
6.29498899e+00 1.12999709e-06
6.74754405e+00 1.15072842e-06
7.23263390e+00 1.16952660e-06
7.75259749e+00 1.18649418e-06
8.30994195e+00 1.20174628e-06
8.90735464e+00 1.21540542e-06
9.54771611e+00 1.22759721e-06
1.02341140e+01 1.23844683e-06
1.09698580e+01 1.24807639e-06
1.17584955e+01 1.25660291e-06
1.26038293e+01 1.26413690e-06
1.35099352e+01 1.27078158e-06
1.44811823e+01 1.27663232e-06
1.55222536e+01 1.28177655e-06
1.66381689e+01 1.28629385e-06
1.78343088e+01 1.29025619e-06
1.91164408e+01 1.29372834e-06
2.04907469e+01 1.29676833e-06
2.19638537e+01 1.29942795e-06
2.35428641e+01 1.30175326e-06
2.52353917e+01 1.30378511e-06
2.70495973e+01 1.30555963e-06
2.89942285e+01 1.30710874e-06
3.10786619e+01 1.30846055e-06
3.33129479e+01 1.30963979e-06
3.57078596e+01 1.31066819e-06
3.82749448e+01 1.31156481e-06
4.10265811e+01 1.31234638e-06
4.39760361e+01 1.31302751e-06
4.71375313e+01 1.31362102e-06
5.05263107e+01 1.31413810e-06
5.41587138e+01 1.31458853e-06
5.80522552e+01 1.31498087e-06
6.22257084e+01 1.31532257e-06
6.66991966e+01 1.31562014e-06
7.14942899e+01 1.31587926e-06
7.66341087e+01 1.31610488e-06
8.21434358e+01 1.31630133e-06
8.80488358e+01 1.31647237e-06
9.43787828e+01 1.31662128e-06
1.01163798e+02 1.31675092e-06
1.08436597e+02 1.31686377e-06
1.16232247e+02 1.31696201e-06
1.24588336e+02 1.31704753e-06
1.33545156e+02 1.31712197e-06
1.43145894e+02 1.31718677e-06
1.53436841e+02 1.31724318e-06
1.64467618e+02 1.31729228e-06
1.76291412e+02 1.31733501e-06
1.88965234e+02 1.31737221e-06
2.02550194e+02 1.31740459e-06
2.17111795e+02 1.31743277e-06
2.32720248e+02 1.31745730e-06
2.49450814e+02 1.31747865e-06
2.67384162e+02 1.31749724e-06
2.86606762e+02 1.31751341e-06
3.07211300e+02 1.31752749e-06
3.29297126e+02 1.31753974e-06
3.52970730e+02 1.31755041e-06
3.78346262e+02 1.31755969e-06
4.05546074e+02 1.31756777e-06
4.34701316e+02 1.31757480e-06
4.65952567e+02 1.31758092e-06
4.99450512e+02 1.31758625e-06
5.35356668e+02 1.31759089e-06
5.73844165e+02 1.31759492e-06
6.15098579e+02 1.31759843e-06
6.59318827e+02 1.31760149e-06
7.06718127e+02 1.31760415e-06
7.57525026e+02 1.31760647e-06
8.11984499e+02 1.31760848e-06
8.70359136e+02 1.31761024e-06
9.32930403e+02 1.31761176e-06
1.00000000e+03 1.31761309e-06
