# sigma mu
4.40000000e-01 4.52834696e-03
5.85438774e-01 5.95561223e-03
7.78951270e-01 7.76260735e-03
1.03642790e+00 9.96719418e-03
1.37901155e+00 1.25076016e-02
1.83483370e+00 1.52064464e-02
2.44132453e+00 1.77849783e-02
3.24828646e+00 1.99686689e-02
4.32198374e+00 2.16148400e-02
5.75058378e+00 2.27413812e-02
7.65139709e+00 2.34593173e-02
1.01805103e+01 2.38955028e-02
1.35456034e+01 2.41526719e-02
1.80230032e+01 2.43015807e-02
2.39803748e+01 2.43868952e-02
3.19069120e+01 2.44354768e-02
4.24535078e+01 2.44630447e-02
5.64862036e+01 2.44786572e-02
7.51573041e+01 2.44874890e-02
1.00000000e+02 2.44924820e-02
