# sigma mu
4.40000000e-01 6.79393515e-09
5.85438774e-01 9.05701555e-09
7.78951270e-01 1.21828719e-08
1.03642790e+00 1.64139837e-08
1.37901155e+00 2.19879439e-08
1.83483370e+00 2.91424101e-08
2.44132453e+00 3.77307570e-08
3.24828646e+00 4.68571164e-08
4.32198374e+00 5.52161280e-08
5.75058378e+00 6.18547683e-08
7.65139709e+00 6.65484964e-08
1.01805103e+01 6.95993238e-08
1.35456034e+01 7.14745873e-08
1.80230032e+01 7.25877349e-08
2.39803748e+01 7.32347984e-08
3.19069120e+01 7.36063474e-08
4.24535078e+01 7.38181907e-08
5.64862036e+01 7.39384886e-08
7.51573041e+01 7.40066445e-08
1.00000000e+02 7.40452085e-08
