x y
0.000000000000000000e+00 0.000000000000000000e+00
3.003003003003002977e-02 7.358304382672276644e-08
6.006006006006005954e-02 1.176716559139382795e-06
9.009009009009008584e-02 5.951965726247948897e-06
1.201201201201201191e-01 1.878833184948729888e-05
1.501501501501501523e-01 4.579840863154314442e-05
1.801801801801801717e-01 9.478653522396043114e-05
2.102102102102102188e-01 1.752080796895967389e-04
2.402402402402402382e-01 2.981200237961223790e-04
2.702702702702702853e-01 4.761230566739877768e-04
3.003003003003003046e-01 7.232954206740581891e-04
3.303303303303303240e-01 1.055118787609003262e-03
3.603603603603603434e-01 1.488396477321675578e-03
3.903903903903903627e-01 2.041164363060554102e-03
4.204204204204204376e-01 2.732594839328792748e-03
4.504504504504504570e-01 3.582894257586659997e-03
4.804804804804804763e-01 4.613194263309858441e-03
5.105105105105105512e-01 5.845437494327268557e-03
5.405405405405405705e-01 7.302258124976116968e-03
5.705705705705705899e-01 9.006857763322552793e-03
6.006006006006006093e-01 1.098287722941086210e-02
6.306306306306306286e-01 1.325426476114102692e-02
6.606606606606606480e-01 1.584514121085839680e-02
6.906906906906906674e-01 1.877966281000221019e-02
7.207207207207206867e-01 2.208188209114425940e-02
7.507507507507507061e-01 2.577560756640532788e-02
7.807807807807807254e-01 2.988426276852336819e-02
8.108108108108108558e-01 3.443074526573186578e-02
8.408408408408408752e-01 3.943728626406922677e-02
8.708708708708708945e-01 4.492531141076174656e-02
9.009009009009009139e-01 5.091530340990562536e-02
9.309309309309309333e-01 5.742666705681735706e-02
9.609609609609609526e-01 6.447759729014633512e-02
9.909909909909909720e-01 7.208495085116707612e-02
1.021021021021021102e+00 8.026412212762831788e-02
1.051051051051051122e+00 8.902892374517377971e-02
1.081081081081081141e+00 9.839147245271276376e-02
1.111111111111111160e+00 1.083620808292708459e-01
1.141141141141141180e+00 1.189491553188626177e-01
1.171171171171171199e+00 1.301591010768624601e-01
1.201201201201201219e+00 1.419962340863180905e-01
1.231231231231231238e+00 1.544627009757082448e-01
1.261261261261261257e+00 1.675584069409343513e-01
1.291291291291291277e+00 1.812809521439212035e-01
1.321321321321321296e+00 1.956255769282305434e-01
1.351351351351351315e+00 2.105851161586590470e-01
1.381381381381381335e+00 2.261499629570414560e-01
1.411411411411411354e+00 2.423080420705271409e-01
1.441441441441441373e+00 2.590447930715910618e-01
1.471471471471471393e+00 2.763431635511060525e-01
1.501501501501501412e+00 2.941836124270978403e-01
1.531531531531531432e+00 3.125441234524639622e-01
1.561561561561561451e+00 3.314002289651177824e-01
1.591591591591591470e+00 3.507250438838639961e-01
1.621621621621621712e+00 3.704893099129885070e-01
1.651651651651651731e+00 3.906614498781876277e-01
1.681681681681681750e+00 4.112076320762449999e-01
1.711711711711711770e+00 4.320918444809204173e-01
1.741741741741741789e+00 4.532759786080248765e-01
1.771771771771771808e+00 4.747199228037370378e-01
1.801801801801801828e+00 4.963816646820547462e-01
1.831831831831831847e+00 5.182174023999935875e-01
1.861861861861861867e+00 5.401816644228928377e-01
1.891891891891891886e+00 5.622274373971146710e-01
1.921921921921921905e+00 5.843063017136669313e-01
1.951951951951951925e+00 6.063685743139465290e-01
1.981981981981981944e+00 6.283634582580547301e-01
2.012012012012012185e+00 6.502391985470846736e-01
2.042042042042042205e+00 6.719432436635129902e-01
2.072072072072072224e+00 6.934224122685104241e-01
2.102102102102102243e+00 7.146230644716509151e-01
2.132132132132132263e+00 7.354912770673128763e-01
2.162162162162162282e+00 7.559730221130479544e-01
2.192192192192192302e+00 7.760143482084721489e-01
2.222222222222222321e+00 7.955615638188677785e-01
2.252252252252252340e+00 8.145614219757040253e-01
2.282282282282282360e+00 8.329613056768000456e-01
2.312312312312312379e+00 8.507094133018611171e-01
2.342342342342342398e+00 8.677549433546606350e-01
2.372372372372372418e+00 8.840482778412883658e-01
2.402402402402402437e+00 8.995411635945607109e-01
2.432432432432432456e+00 9.141868908580116360e-01
2.462462462462462476e+00 9.279404684487608801e-01
2.492492492492492495e+00 9.407587948270088596e-01
2.522522522522522515e+00 9.526008244109259726e-01
2.552552552552552534e+00 9.634277284892346360e-01
2.582582582582582553e+00 9.732030500997872480e-01
2.612612612612612573e+00 9.818928522608675324e-01
2.642642642642642592e+00 9.894658589627695067e-01
2.672672672672672611e+00 9.958935883502677555e-01
2.702702702702702631e+00 1.001150477551940199e+00
2.732732732732732650e+00 1.005213998639727491e+00
2.762762762762762669e+00 1.008064765231616811e+00
2.792792792792792689e+00 1.009686629281742576e+00
2.822822822822822708e+00 1.010066767635456220e+00
2.852852852852852727e+00 1.009195757961855788e+00
2.882882882882882747e+00 1.007067643712830529e+00
2.912912912912912766e+00 1.003679987795637496e+00
2.942942942942942786e+00 9.990339146853844943e-01
2.972972972972972805e+00 9.931341407442441094e-01
3.003003003003002824e+00 9.859889925557983048e-01
3.033033033033032844e+00 9.776104131252939533e-01
3.063063063063062863e+00 9.680139558397478083e-01
3.093093093093092882e+00 9.572187661255688873e-01
3.123123123123122902e+00 9.452475507854947168e-01
3.153153153153152921e+00 9.321265350410226080e-01
3.183183183183182940e+00 9.178854073510330780e-01
3.213213213213213404e+00 9.025572521216755906e-01
3.243243243243243423e+00 8.861784704668227430e-01
3.273273273273273443e+00 8.687886892221301505e-01
3.303303303303303462e+00 8.504306584590298757e-01
3.333333333333333481e+00 8.311501377874436214e-01
3.363363363363363501e+00 8.109957717776828945e-01
3.393393393393393520e+00 7.900189548725919941e-01
3.423423423423423539e+00 7.682736862004124756e-01
3.453453453453453559e+00 7.458164147369635844e-01
3.483483483483483578e+00 7.227058753023386517e-01
3.513513513513513598e+00 6.990029159123400948e-01
3.543543543543543617e+00 6.747703170381394999e-01
3.573573573573573636e+00 6.500726033590590314e-01
3.603603603603603656e+00 6.249758486227600107e-01
3.633633633633633675e+00 5.995474742544468771e-01
3.663663663663663694e+00 5.738560423817739009e-01
3.693693693693693714e+00 5.479710439649442266e-01
3.723723723723723733e+00 5.219626827418615278e-01
3.753753753753753752e+00 4.959016557161211036e-01
3.783783783783783772e+00 4.698589309309760265e-01
3.813813813813813791e+00 4.439055232851611965e-01
3.843843843843843811e+00 4.181122691565329896e-01
3.873873873873873830e+00 3.925496006068430188e-01
3.903903903903903849e+00 3.672873199455801152e-01
3.933933933933933869e+00 3.423943754326532751e-01
3.963963963963963888e+00 3.179386388987453516e-01
3.993993993993993907e+00 2.939866860584230968e-01
4.024024024024024371e+00 2.706035802845717653e-01
4.054054054054054390e+00 2.478526606034209268e-01
4.084084084084084409e+00 2.257953346573820241e-01
4.114114114114114429e+00 2.044908773681828884e-01
4.144144144144144448e+00 1.839962360153489518e-01
4.174174174174174468e+00 1.643658424250719896e-01
4.204204204204204487e+00 1.456514329419304754e-01
4.234234234234234506e+00 1.279018768308952947e-01
4.264264264264264526e+00 1.111630137296236581e-01
4.294294294294294545e+00 9.547750074133624920e-02
4.324324324324324564e+00 8.088466972665500632e-02
4.354354354354354584e+00 6.742039531878996073e-02
4.384384384384384603e+00 5.511697415050192950e-02
4.414414414414414622e+00 4.400301574346313777e-02
4.444444444444444642e+00 3.410334547112271741e-02
4.474474474474474661e+00 2.543891996509329775e-02
4.504504504504504681e+00 1.802675529255276174e-02
4.534534534534534700e+00 1.187986818835315428e-02
4.564564564564564719e+00 7.007230580594937287e-03
4.594594594594594739e+00 3.413737602524697691e-03
4.624624624624624758e+00 1.100189236904292305e-03
4.654654654654654777e+00 6.328569164820907120e-05
4.684684684684684797e+00 2.956365577000061849e-04
4.714714714714714816e+00 1.785783751989194860e-03
4.744744744744744835e+00 4.518238200047538372e-03
4.774774774774774855e+00 8.473530164641824430e-03
4.804804804804804874e+00 1.362827307877034766e-02
4.834834834834834894e+00 1.995524069374633030e-02
4.864864864864864913e+00 2.742345730602174791e-02
4.894894894894894932e+00 3.599830078006360096e-02
4.924924924924924952e+00 4.564161803914238563e-02
4.954954954954954971e+00 5.631185265150188274e-02
4.984984984984984990e+00 6.796418409620137713e-02
5.015015015015015010e+00 8.055067825112467716e-02
5.045045045045045029e+00 9.402044860537353554e-02
5.075075075075075048e+00 1.083198276596678000e-01
5.105105105105105068e+00 1.233925479415868970e-01
5.135135135135135087e+00 1.391799320276574381e-01
5.165165165165165106e+00 1.556210909315338953e-01
5.195195195195195126e+00 1.726531301869647927e-01
5.225225225225225145e+00 1.902113629259949978e-01
5.255255255255255165e+00 2.082295292270282261e-01
5.285285285285285184e+00 2.266400209840662427e-01
5.315315315315315203e+00 2.453741115277326967e-01
5.345345345345345223e+00 2.643621892106639004e-01
5.375375375375375242e+00 2.835339941545761411e-01
5.405405405405405261e+00 3.028188573438507780e-01
5.435435435435435281e+00 3.221459412408786416e-01
5.465465465465465300e+00 3.414444810916926754e-01
5.495495495495495319e+00 3.606440260866490277e-01
5.525525525525525339e+00 3.796746795400749996e-01
5.555555555555555358e+00 3.984673372549375481e-01
5.585585585585585378e+00 4.169539232436526022e-01
5.615615615615615397e+00 4.350676219841781989e-01
5.645645645645645416e+00 4.527431064014588724e-01
5.675675675675675436e+00 4.699167607781088996e-01
5.705705705705705455e+00 4.865268978148612478e-01
5.735735735735735474e+00 5.025139690807550741e-01
5.765765765765765494e+00 5.178207681151650865e-01
5.795795795795795513e+00 5.323926254685883430e-01
5.825825825825825532e+00 5.461775949964416954e-01
5.855855855855855552e+00 5.591266307499394017e-01
5.885885885885885571e+00 5.711937538403133452e-01
5.915915915915915591e+00 5.823362086870513821e-01
5.945945945945945610e+00 5.925146080974073026e-01
5.975975975975975629e+00 6.016930666629992652e-01
6.006006006006005649e+00 6.098393219997606529e-01
6.036036036036035668e+00 6.169248433996684655e-01
6.066066066066065687e+00 6.229249275064410174e-01
6.096096096096095707e+00 6.278187806725735731e-01
6.126126126126125726e+00 6.315895877015303972e-01
6.156156156156155745e+00 6.342245667264805320e-01
6.186186186186185765e+00 6.357150100254572722e-01
6.216216216216215784e+00 6.360563106220878948e-01
6.246246246246245803e+00 6.352479745709015413e-01
6.276276276276275823e+00 6.332936188765030394e-01
6.306306306306305842e+00 6.302009550464059418e-01
6.336336336336335862e+00 6.259817583279017050e-01
6.366366366366365881e+00 6.206518227297831425e-01
6.396396396396395900e+00 6.142309019799078174e-01
6.426426426426426808e+00 6.067426366192383291e-01
6.456456456456456827e+00 5.982144674820329966e-01
6.486486486486486847e+00 5.886775358600242480e-01
6.516516516516516866e+00 5.781665706956173878e-01
6.546546546546546885e+00 5.667197631951349512e-01
6.576576576576576905e+00 5.543786292978063468e-01
6.606606606606606924e+00 5.411878604793658454e-01
6.636636636636636943e+00 5.271951634106362139e-01
6.666666666666666963e+00 5.124510890311851918e-01
6.696696696696696982e+00 4.970088516359090214e-01
6.726726726726727001e+00 4.809241386080605474e-01
6.756756756756757021e+00 4.642549114657302245e-01
6.786786786786787040e+00 4.470611989198922109e-01
6.816816816816817060e+00 4.294048826708388167e-01
