k W
1.000000000000000048e-04 3.108264004128094583e-19
1.011579000000000026e-04 3.254751735094731721e-19
1.023292999999999962e-04 3.408143651518451107e-19
1.035141999999999990e-04 3.568764781708902148e-19
1.047129000000000050e-04 3.736955339388964312e-19
1.059254000000000006e-04 3.913072528408794746e-19
1.071518999999999998e-04 4.097490256196783501e-19
1.083926999999999965e-04 4.290598715943265943e-19
1.096478000000000041e-04 4.492808404177417110e-19
1.109175000000000032e-04 4.704547866199404584e-19
1.122017999999999936e-04 4.926266326291428437e-19
1.135011000000000033e-04 5.158434224777930033e-19
1.148154000000000053e-04 5.401543388243738078e-19
1.161448999999999999e-04 5.656110750433787255e-19
1.174898000000000012e-04 5.922674828933854434e-19
1.188502000000000026e-04 6.201801804529523502e-19
1.202263999999999980e-04 6.494083671049096560e-19
1.216186000000000014e-04 6.800140872977022645e-19
1.230268999999999926e-04 7.120621119398738949e-19
1.244515000000000129e-04 7.456205836225663489e-19
1.258924999999999877e-04 7.807606153680180533e-19
1.273502999999999994e-04 8.175566956707338537e-19
1.288250000000000007e-04 8.560869432155251302e-19
1.303166999999999986e-04 8.964331069990528279e-19
1.318256999999999871e-04 9.386806794690935674e-19
1.333521000000000001e-04 9.829193121509322215e-19
1.348963000000000115e-04 1.029242902370385515e-18
1.364582999999999942e-04 1.077749595469953529e-18
1.380383999999999962e-04 1.128542388834398064e-18
1.396368000000000045e-04 1.181728941087986174e-18
1.412538000000000129e-04 1.237422094797830312e-18
1.428893999999999943e-04 1.295739957513315867e-18
1.445440000000000039e-04 1.356806311101008605e-18
1.462176999999999943e-04 1.420750612979598502e-18
1.479107999999999866e-04 1.487708506978446991e-18
1.496236000000000018e-04 1.557822117502035299e-18
1.513561000000000127e-04 1.631240011741667405e-18
1.531086999999999932e-04 1.708117938741200789e-18
1.548816999999999913e-04 1.788618997245781347e-18
1.566751000000000070e-04 1.872914006292828152e-18
1.584892999999999870e-04 1.961181642493690000e-18
1.603244999999999996e-04 2.053609250713950037e-18
1.621810000000000113e-04 2.150392992095956624e-18
