# r nt mu
1.00000000e-06 -1.25000000e-07 3.38051081e-19
1.14975700e-06 -1.43719624e-07 3.88676557e-19
1.32194115e-06 -1.65242644e-07 4.46883539e-19
1.51991108e-06 -1.89988885e-07 5.13807408e-19
1.74752840e-06 -2.18441050e-07 5.90753573e-19
2.00923300e-06 -2.51154125e-07 6.79222936e-19
2.31012970e-06 -2.88766213e-07 7.80941166e-19
2.65608778e-06 -3.32010973e-07 8.97892364e-19
3.05385551e-06 -3.81731939e-07 1.03235775e-18
3.51119173e-06 -4.38898967e-07 1.18696019e-18
4.03701726e-06 -5.04627157e-07 1.36471531e-18
4.64158883e-06 -5.80198604e-07 1.56909035e-18
5.33669923e-06 -6.67087404e-07 1.80407177e-18
6.13590727e-06 -7.66988409e-07 2.07424305e-18
7.05480231e-06 -8.81850289e-07 2.38487401e-18
8.11130831e-06 -1.01391354e-06 2.74202366e-18
9.32603347e-06 -1.16575418e-06 3.15265835e-18
1.07226722e-05 -1.34033403e-06 3.62478765e-18
1.23284674e-05 -1.54105842e-06 4.16762053e-18
1.41747416e-05 -1.77184270e-06 4.79174501e-18
1.62975083e-05 -2.03718854e-06 5.50933462e-18
1.87381742e-05 -2.34227178e-06 6.33438580e-18
2.15443469e-05 -2.69304336e-06 7.28299088e-18
2.47707636e-05 -3.09634544e-06 8.37365186e-18
2.84803587e-05 -3.56004484e-06 9.62764120e-18
3.27454916e-05 -4.09318645e-06 1.10694166e-17
3.76493581e-05 -4.70616976e-06 1.27270979e-17
4.32876128e-05 -5.41095160e-06 1.46330154e-17
4.97702356e-05 -6.22127946e-06 1.68243397e-17
5.72236766e-05 -7.15295957e-06 1.93438070e-17
6.57933225e-05 -8.22416531e-06 2.22405515e-17
7.56463328e-05 -9.45579159e-06 2.55710631e-17
8.69749003e-05 -1.08718625e-05 2.94002886e-17
1.00000000e-04 -1.25000000e-05 3.38028965e-17
1.14975700e-04 -1.43719624e-05 3.88647322e-17
1.32194115e-04 -1.65242644e-05 4.46844892e-17
1.51991108e-04 -1.89988885e-05 5.13756320e-17
1.74752840e-04 -2.18441050e-05 5.90686038e-17
2.00923300e-04 -2.51154125e-05 6.79133659e-17
2.31012970e-04 -2.88766213e-05 7.80823149e-17
2.65608778e-04 -3.32010973e-05 8.97736355e-17
3.05385551e-04 -3.81731939e-05 1.03215152e-16
3.51119173e-04 -4.38898967e-05 1.18668757e-16
4.03701726e-04 -5.04627157e-05 1.36435493e-16
4.64158883e-04 -5.80198604e-05 1.56861396e-16
5.33669923e-04 -6.67087404e-05 1.80344204e-16
6.13590727e-04 -7.66988409e-05 2.07341060e-16
7.05480231e-04 -8.81850289e-05 2.38377361e-16
8.11130831e-04 -1.01391354e-04 2.74056907e-16
9.32603347e-04 -1.16575418e-04 3.15073558e-16
1.07226722e-03 -1.34033403e-04 3.62224602e-16
1.23284674e-03 -1.54105842e-04 4.16426089e-16
1.41747416e-03 -1.77184270e-04 4.78730414e-16
1.62975083e-03 -2.03718854e-04 5.50346462e-16
1.87381742e-03 -2.34227178e-04 6.32662687e-16
2.15443469e-03 -2.69304336e-04 7.27273533e-16
2.47707636e-03 -3.09634544e-04 8.36009662e-16
2.84803587e-03 -3.56004484e-04 9.60972500e-16
3.27454916e-03 -4.09318645e-04 1.10457370e-15
3.76493581e-03 -4.70616976e-04 1.26958019e-15
4.32876128e-03 -5.41095160e-04 1.45916545e-15
4.97702356e-03 -6.22127946e-04 1.67696792e-15
5.72236766e-03 -7.15295957e-04 1.92715734e-15
6.57933225e-03 -8.22416531e-04 2.21451001e-15
7.56463328e-03 -9.45579159e-04 2.54449386e-15
8.69749003e-03 -1.08718625e-03 2.92336451e-15
1.00000000e-02 -1.25000000e-03 3.35827339e-15
1.14975700e-02 -1.43719624e-03 3.85738879e-15
1.32194115e-02 -1.65242644e-03 4.43003105e-15
1.51991108e-02 -1.89988885e-03 5.08682261e-15
1.74752840e-02 -2.18441050e-03 5.83985348e-15
2.00923300e-02 -2.51154125e-03 6.70286236e-15
2.31012970e-02 -2.88766213e-03 7.69143296e-15
2.65608778e-02 -3.32010973e-03 8.82320415e-15
3.05385551e-02 -3.81731939e-03 1.01180915e-14
3.51119173e-02 -4.38898967e-03 1.15985160e-14
4.03701726e-02 -5.04627157e-03 1.32896334e-14
4.64158883e-02 -5.80198604e-03 1.52195550e-14
5.33669923e-02 -6.67087404e-03 1.74195464e-14
6.13590727e-02 -7.66988409e-03 1.99241869e-14
7.05480231e-02 -8.81850289e-03 2.27714638e-14
8.11130831e-02 -1.01391354e-02 2.60027722e-14
9.32603347e-02 -1.16575418e-02 2.96627777e-14
1.07226722e-01 -1.34033403e-02 3.37990931e-14
1.23284674e-01 -1.54105842e-02 3.84617049e-14
1.41747416e-01 -1.77184270e-02 4.37020780e-14
1.62975083e-01 -2.03718854e-02 4.95718512e-14
1.87381742e-01 -2.34227178e-02 5.61210311e-14
2.15443469e-01 -2.69304336e-02 6.33955877e-14
2.47707636e-01 -3.09634544e-02 7.14343604e-14
2.84803587e-01 -3.56004484e-02 8.02652078e-14
3.27454916e-01 -4.09318645e-02 8.99003758e-14
3.76493581e-01 -4.70616976e-02 1.00331133e-13
4.32876128e-01 -5.41095160e-02 1.11521833e-13
4.97702356e-01 -6.22127946e-02 1.23403707e-13
5.72236766e-01 -7.15295957e-02 1.35868883e-13
6.57933225e-01 -8.22416531e-02 1.48765343e-13
7.56463328e-01 -9.45579159e-02 1.61893687e-13
8.69749003e-01 -1.08718625e-01 1.75006757e-13
1.00000000e+00 -1.25000000e-01 1.87813088e-13
