# nt mu
-1.00000000e+00 4.36229094e-15
-9.74747475e-01 4.45841988e-15
-9.49494949e-01 4.55885575e-15
-9.24242424e-01 4.66409671e-15
-8.98989899e-01 4.77467773e-15
-8.73737374e-01 4.89117675e-15
-8.48484848e-01 5.01422158e-15
-8.23232323e-01 5.14449788e-15
-7.97979798e-01 5.28275820e-15
-7.72727273e-01 5.42983256e-15
-7.47474747e-01 5.58664065e-15
-7.22222222e-01 5.75420606e-15
-6.96969697e-01 5.93367292e-15
-6.71717172e-01 6.12632550e-15
-6.46464646e-01 6.33361130e-15
-6.21212121e-01 6.55716838e-15
-5.95959596e-01 6.79885790e-15
-5.70707071e-01 7.06080285e-15
-5.45454545e-01 7.34543457e-15
-5.20202020e-01 7.65554850e-15
-4.94949495e-01 7.99437159e-15
-4.69696970e-01 8.36564385e-15
-4.44444444e-01 8.77371746e-15
-4.19191919e-01 9.22367776e-15
-3.93939394e-01 9.72149134e-15
-3.68686869e-01 1.02741882e-14
-3.43434343e-01 1.08900865e-14
-3.18181818e-01 1.15790712e-14
-2.92929293e-01 1.23529404e-14
-2.67676768e-01 1.32258383e-14
-2.42424242e-01 1.42147978e-14
-2.17171717e-01 1.53404244e-14
-1.91919192e-01 1.66277608e-14
-1.66666667e-01 1.81073841e-14
-1.41414141e-01 1.98168069e-14
-1.16161616e-01 2.18022704e-14
-9.09090909e-02 2.41210521e-14
-6.56565657e-02 2.68444474e-14
-4.04040404e-02 3.00616398e-14
-1.51515152e-02 3.38847471e-14
1.01010101e-02 3.84554294e-14
3.53535354e-02 4.39535847e-14
6.06060606e-02 5.06088406e-14
8.58585859e-02 5.87158148e-14
1.11111111e-01 6.86544719e-14
1.36363636e-01 8.09174074e-14
1.61616162e-01 9.61465840e-14
1.86868687e-01 1.15183030e-13
2.12121212e-01 1.39134382e-13
2.37373737e-01 1.69467118e-13
2.62626263e-01 2.08133076e-13
2.87878788e-01 2.57743822e-13
3.13131313e-01 3.21812067e-13
3.38383838e-01 4.05087439e-13
3.63636364e-01 5.14025602e-13
3.88888889e-01 6.57446645e-13
4.14141414e-01 8.47463165e-13
4.39393939e-01 1.10079431e-12
4.64646465e-01 1.44063427e-12
4.89898990e-01 1.89932062e-12
5.15151515e-01 2.52216080e-12
5.40404040e-01 3.37294212e-12
5.65656566e-01 4.54189842e-12
5.90909091e-01 6.15727466e-12
6.16161616e-01 8.40218034e-12
6.41414141e-01 1.15392456e-11
6.66666667e-01 1.59468296e-11
6.91919192e-01 2.21723912e-11
7.17171717e-01 3.10114485e-11
7.42424242e-01 4.36248128e-11
7.67676768e-01 6.17132736e-11
7.92929293e-01 8.77787960e-11
8.18181818e-01 1.25516424e-10
8.43434343e-01 1.80404297e-10
8.68686869e-01 2.60594916e-10
8.93939394e-01 3.78265948e-10
9.19191919e-01 5.51674249e-10
9.44444444e-01 8.08289411e-10
9.69696970e-01 1.18958971e-09
9.94949495e-01 1.75842613e-09
1.02020202e+00 2.61036608e-09
1.04545455e+00 3.89122385e-09
1.07070707e+00 5.82423944e-09
1.09595960e+00 8.75235285e-09
1.12121212e+00 1.32041724e-08
1.14646465e+00 1.99972561e-08
1.17171717e+00 3.04003495e-08
1.19696970e+00 4.63890934e-08
1.22222222e+00 7.10504352e-08
1.24747475e+00 1.09224452e-07
1.27272727e+00 1.68526592e-07
1.29797980e+00 2.60981762e-07
1.32323232e+00 4.05646230e-07
1.34848485e+00 6.32830713e-07
1.37373737e+00 9.90929403e-07
1.39898990e+00 1.55750817e-06
1.42424242e+00 2.45738441e-06
1.44949495e+00 3.89223582e-06
1.47474747e+00 6.18930928e-06
1.50000000e+00 9.88192578e-06
