# nt mu
-3.00000000e+00 3.92833949e-16
-2.93939394e+00 2.84986650e-16
-2.87878788e+00 2.20210910e-16
-2.81818182e+00 1.80133565e-16
-2.75757576e+00 1.54685498e-16
-2.69696970e+00 1.38226359e-16
-2.63636364e+00 1.27521209e-16
-2.57575758e+00 1.20668710e-16
-2.51515152e+00 1.16524144e-16
-2.45454545e+00 1.14383262e-16
-2.39393939e+00 1.13805709e-16
-2.33333333e+00 1.14514392e-16
-2.27272727e+00 1.16336970e-16
-2.21212121e+00 1.19171174e-16
-2.15151515e+00 1.22963940e-16
-2.09090909e+00 1.27698760e-16
-2.03030303e+00 1.33388074e-16
-1.96969697e+00 1.40068880e-16
-1.90909091e+00 1.47800509e-16
-1.84848485e+00 1.56663945e-16
-1.78787879e+00 1.66762356e-16
-1.72727273e+00 1.78222677e-16
-1.66666667e+00 1.91198183e-16
-1.60606061e+00 2.05872125e-16
-1.54545455e+00 2.22462545e-16
-1.48484848e+00 2.41228513e-16
-1.42424242e+00 2.62478113e-16
-1.36363636e+00 2.86578659e-16
-1.30303030e+00 3.13969796e-16
-1.24242424e+00 3.45180426e-16
-1.18181818e+00 3.80850736e-16
-1.12121212e+00 4.21761191e-16
-1.06060606e+00 4.68871131e-16
-1.00000000e+00 5.23370831e-16
-9.39393939e-01 5.86752734e-16
-8.78787879e-01 6.60910441e-16
-8.18181818e-01 7.48278559e-16
-7.57575758e-01 8.52033800e-16
-6.96969697e-01 9.76389570e-16
-6.36363636e-01 1.12703604e-15
-5.75757576e-01 1.31181099e-15
-5.15151515e-01 1.54174433e-15
-4.54545455e-01 1.83271976e-15
-3.93939394e-01 2.20817768e-15
-3.33333333e-01 2.70361216e-15
-2.72727273e-01 3.37422635e-15
-2.12121212e-01 4.30827132e-15
-1.51515152e-01 5.65084157e-15
-9.09090909e-02 7.64734699e-15
-3.03030303e-02 1.07248665e-14
3.03030303e-02 1.56481392e-14
9.09090909e-02 2.38260905e-14
1.51515152e-01 3.79292097e-14
2.12121212e-01 6.31641814e-14
2.72727273e-01 1.09971387e-13
3.33333333e-01 1.99875820e-13
3.93939394e-01 3.78490368e-13
4.54545455e-01 7.45114745e-13
5.15151515e-01 1.52170620e-12
5.75757576e-01 3.21729717e-12
6.36363636e-01 7.02870103e-12
6.96969697e-01 1.58381659e-11
7.57575758e-01 3.67490602e-11
8.18181818e-01 8.76605327e-11
8.78787879e-01 2.14647341e-10
9.39393939e-01 5.38775190e-10
1.00000000e+00 1.38455066e-09
1.06060606e+00 3.63882895e-09
1.12121212e+00 9.77202346e-09
1.18181818e+00 2.67974911e-08
1.24242424e+00 7.50096932e-08
1.30303030e+00 2.14291023e-07
1.36363636e+00 6.24943378e-07
1.42424242e+00 1.86151707e-06
1.48484848e+00 5.66880572e-06
1.54545455e+00 1.76727959e-05
1.60606061e+00 5.65048771e-05
1.66666667e+00 1.85688168e-04
1.72727273e+00 6.28751128e-04
1.78787879e+00 2.19932646e-03
1.84848485e+00 7.96614144e-03
1.90909091e+00 2.99319567e-02
1.96969697e+00 1.16768789e-01
2.03030303e+00 4.72811176e-01
2.09090909e+00 1.98405374e+00
2.15151515e+00 8.60609734e+00
2.21212121e+00 3.84608786e+01
2.27272727e+00 1.76449920e+02
2.33333333e+00 8.28026981e+02
2.39393939e+00 3.96118851e+03
2.45454545e+00 1.92603939e+04
2.51515152e+00 9.49396728e+04
2.57575758e+00 4.73409222e+05
2.63636364e+00 2.38373022e+06
2.69696970e+00 1.21024247e+07
2.75757576e+00 6.18815612e+07
2.81818182e+00 3.18343814e+08
2.87878788e+00 1.64636624e+09
2.93939394e+00 8.55383666e+09
3.00000000e+00 4.46229681e+10
