# nt mu
-1.00000000e+00 1.02923228e-14
-9.74747475e-01 1.00694203e-14
-9.49494949e-01 9.86502319e-15
-9.24242424e-01 9.67861473e-15
-8.98989899e-01 9.50976372e-15
-8.73737374e-01 9.35812467e-15
-8.48484848e-01 9.22343926e-15
-8.23232323e-01 9.10553869e-15
-7.97979798e-01 9.00434727e-15
-7.72727273e-01 8.91988729e-15
-7.47474747e-01 8.85228540e-15
-7.22222222e-01 8.80178074e-15
-6.96969697e-01 8.76873508e-15
-6.71717172e-01 8.75364536e-15
-6.46464646e-01 8.75715907e-15
-6.21212121e-01 8.78009300e-15
-5.95959596e-01 8.82345614e-15
-5.70707071e-01 8.88847743e-15
-5.45454545e-01 8.97663962e-15
-5.20202020e-01 9.08972043e-15
-4.94949495e-01 9.22984274e-15
-4.69696970e-01 9.39953603e-15
-4.44444444e-01 9.60181155e-15
-4.19191919e-01 9.84025478e-15
-3.93939394e-01 1.01191394e-14
-3.68686869e-01 1.04435685e-14
-3.43434343e-01 1.08196496e-14
-3.18181818e-01 1.12547129e-14
-2.92929293e-01 1.17575851e-14
-2.67676768e-01 1.23389326e-14
-2.42424242e-01 1.30116948e-14
-2.17171717e-01 1.37916342e-14
-1.91919192e-01 1.46980351e-14
-1.66666667e-01 1.57545979e-14
-1.41414141e-01 1.69905872e-14
-1.16161616e-01 1.84423128e-14
-9.09090909e-02 2.01550485e-14
-6.56565657e-02 2.21855301e-14
-4.04040404e-02 2.46052221e-14
-1.51515152e-02 2.75046088e-14
1.01010101e-02 3.09988584e-14
3.53535354e-02 3.52353336e-14
6.06060606e-02 4.04035965e-14
8.58585859e-02 4.67488003e-14
1.11111111e-01 5.45896945e-14
1.36363636e-01 6.43429503e-14
1.61616162e-01 7.65561710e-14
1.86868687e-01 9.19529015e-14
2.12121212e-01 1.11494274e-13
2.37373737e-01 1.36463827e-13
2.62626263e-01 1.68584736e-13
2.87878788e-01 2.10182562e-13
3.13131313e-01 2.64412199e-13
3.38383838e-01 3.35575722e-13
3.63636364e-01 4.29569483e-13
3.88888889e-01 5.54515675e-13
4.14141414e-01 7.21658248e-13
4.39393939e-01 9.46639095e-13
4.64646465e-01 1.25132331e-12
4.89898990e-01 1.66642030e-12
5.15151515e-01 2.23526254e-12
5.40404040e-01 3.01927456e-12
5.65656566e-01 4.10591843e-12
5.90909091e-01 5.62028037e-12
6.16161616e-01 7.74202985e-12
6.41414141e-01 1.07303322e-11
6.66666667e-01 1.49605754e-11
6.91919192e-01 2.09787054e-11
7.17171717e-01 2.95818877e-11
7.42424242e-01 4.19386621e-11
7.67676768e-01 5.97685287e-11
7.92929293e-01 8.56112481e-11
8.18181818e-01 1.23232003e-10
8.43434343e-01 1.78232934e-10
8.68686869e-01 2.58979134e-10
8.93939394e-01 3.78005263e-10
9.19191919e-01 5.54158981e-10
9.44444444e-01 8.15877455e-10
9.69696970e-01 1.20621156e-09
9.94949495e-01 1.79055411e-09
1.02020202e+00 2.66856457e-09
1.04545455e+00 3.99262660e-09
1.07070707e+00 5.99650734e-09
1.09595960e+00 9.03999785e-09
1.12121212e+00 1.36786684e-08
1.14646465e+00 2.07732209e-08
1.17171717e+00 3.16614761e-08
1.19696970e+00 4.84297742e-08
1.22222222e+00 7.43427018e-08
1.24747475e+00 1.14525866e-07
1.27272727e+00 1.77054568e-07
1.29797980e+00 2.74695987e-07
1.32323232e+00 4.27707604e-07
1.34848485e+00 6.68349537e-07
1.37373737e+00 1.04818944e-06
1.39898990e+00 1.64997683e-06
1.42424242e+00 2.60702739e-06
1.44949495e+00 4.13500650e-06
1.47474747e+00 6.58428159e-06
1.50000000e+00 1.05265636e-05
