x y
3.003003003003002977e-02 9.999098226340503714e-01
6.006006006006005954e-02 9.996393253867756901e-01
9.009009009009008584e-02 9.991886127924625161e-01
1.201201201201201191e-01 9.985578590167266677e-01
1.501501501501501523e-01 9.977473077692740056e-01
1.801801801801801717e-01 9.967572721818241943e-01
2.102102102102102188e-01 9.955881346512837071e-01
2.402402402402402382e-01 9.942403466482387930e-01
2.702702702702702853e-01 9.927144284909015237e-01
3.003003003003003046e-01 9.910109690846204966e-01
3.303303303303303240e-01 9.891306256271186204e-01
3.603603603603603434e-01 9.870741232796129694e-01
3.903903903903903627e-01 9.848422548040169922e-01
4.204204204204204376e-01 9.824358801664319074e-01
4.504504504504504570e-01 9.798559261071466686e-01
4.804804804804804763e-01 9.771033856774014037e-01
5.105105105105105512e-01 9.741793177431737893e-01
5.405405405405405705e-01 9.710848464562797933e-01
5.705705705705705899e-01 9.678211606930808841e-01
6.006006006006006093e-01 9.643895134611308873e-01
6.306306306306306286e-01 9.607912212740923330e-01
6.606606606606606480e-01 9.570276634952850081e-01
6.906906906906906674e-01 9.531002816502454067e-01
7.207207207207206867e-01 9.490105787086786648e-01
7.507507507507507061e-01 9.447601183362261956e-01
7.807807807807807254e-01 9.403505241164709094e-01
8.108108108108108558e-01 9.357834787436188906e-01
8.408408408408408752e-01 9.310607231863322619e-01
8.708708708708708945e-01 9.261840558231740905e-01
9.009009009009009139e-01 9.211553315501744832e-01
9.309309309309309333e-01 9.159764608610090342e-01
9.609609609609609526e-01 9.106494089003324133e-01
9.909909909909909720e-01 9.051761944907907864e-01
1.021021021021021102e+00 8.995588891342767290e-01
1.051051051051051122e+00 8.937996159879886271e-01
1.081081081081081141e+00 8.879005488158813186e-01
1.111111111111111160e+00 8.818639109160988365e-01
1.141141141141141180e+00 8.756919740250053152e-01
1.171171171171171199e+00 8.693870571984259055e-01
1.201201201201201219e+00 8.629515256707436244e-01
1.231231231231231238e+00 8.563877896924885214e-01
1.261261261261261257e+00 8.496983033470835167e-01
1.291291291291291277e+00 8.428855633474141573e-01
1.321321321321321296e+00 8.359521078129021898e-01
1.351351351351351315e+00 8.289005150277755085e-01
1.381381381381381335e+00 8.217334021812340294e-01
1.411411411411411354e+00 8.144534240902203681e-01
1.441441441441441373e+00 8.070632719055206294e-01
1.471471471471471393e+00 7.995656718019150677e-01
1.501501501501501412e+00 7.919633836531241311e-01
1.531531531531531432e+00 7.842591996922860798e-01
1.561561561561561451e+00 7.764559431587259031e-01
1.591591591591591470e+00 7.685564669317670461e-01
1.621621621621621712e+00 7.605636521523555516e-01
1.651651651651651731e+00 7.524804068332673346e-01
1.681681681681681750e+00 7.443096644586706390e-01
1.711711711711711770e+00 7.360543825738347090e-01
1.741741741741741789e+00 7.277175413657586134e-01
1.771771771771771808e+00 7.193021422355221350e-01
1.801801801801801828e+00 7.108112063631422117e-01
1.831831831831831847e+00 7.022477732657412819e-01
1.861861861861861867e+00 6.936148993498190141e-01
1.891891891891891886e+00 6.849156564584333307e-01
1.921921921921921905e+00 6.761531304140941945e-01
1.951951951951951925e+00 6.673304195581712950e-01
1.981981981981981944e+00 6.584506332876246537e-01
2.012012012012012185e+00 6.495168905898593970e-01
2.042042042042042205e+00 6.405323185765136040e-01
