x y
0.000000000000000000e+00 1.000000000000000000e+00
3.003003003003002977e-02 9.998643631483962180e-01
6.006006006006005954e-02 9.994575231262053938e-01
9.009009009009008584e-02 9.987796914867688169e-01
1.201201201201201191e-01 9.978312206706140275e-01
1.501501501501501523e-01 9.966126037830044249e-01
1.801801801801801717e-01 9.951244742827222156e-01
2.102102102102102188e-01 9.933676055823011941e-01
2.402402402402402382e-01 9.913429105599887992e-01
2.702702702702702853e-01 9.890514409837743992e-01
3.003003003003003046e-01 9.864943868478800448e-01
3.303303303303303240e-01 9.836730756221774286e-01
3.603603603603603434e-01 9.805889714150491931e-01
3.903903903903903627e-01 9.772436740502734587e-01
4.204204204204204376e-01 9.736389180585720560e-01
4.504504504504504570e-01 9.697765715845214629e-01
4.804804804804804763e-01 9.656586352095788417e-01
5.105105105105105512e-01 9.612872406920445201e-01
5.405405405405405705e-01 9.566646496248270015e-01
5.705705705705705899e-01 9.517932520119412043e-01
6.006006006006006093e-01 9.466755647647273619e-01
6.306306306306306286e-01 9.413142301188244243e-01
6.606606606606606480e-01 9.357120139729984132e-01
6.906906906906906674e-01 9.298718041509705934e-01
7.207207207207206867e-01 9.237966085874477207e-01
7.507507507507507061e-01 9.174895534396076968e-01
7.807807807807807254e-01 9.109538811253422574e-01
8.108108108108108558e-01 9.041929482896171599e-01
8.408408408408408752e-01 8.972102237003461989e-01
8.708708708708708945e-01 8.900092860752347734e-01
9.009009009009009139e-01 8.825938218410921410e-01
9.309309309309309333e-01 8.749676228271554557e-01
9.609609609609609526e-01 8.671345838940142103e-01
9.909909909909909720e-01 8.590987004997737708e-01
1.021021021021021102e+00 8.508640662051248915e-01
1.051051051051051122e+00 8.424348701190458311e-01
1.081081081081081141e+00 8.338153942868877788e-01
1.111111111111111160e+00 8.250100110226403771e-01
1.141141141141141180e+00 8.160231801872145363e-01
1.171171171171171199e+00 8.068594464146068290e-01
1.201201201201201219e+00 7.975234362878533823e-01
1.231231231231231238e+00 7.880198554667084965e-01
1.261261261261261257e+00 7.783534857690195263e-01
1.291291291291291277e+00 7.685291822077965351e-01
1.321321321321321296e+00 7.585518699860067660e-01
1.351351351351351315e+00 7.484265414511500625e-01
1.381381381381381335e+00 7.381582530116979068e-01
1.411411411411411354e+00 7.277521220175053873e-01
1.441441441441441373e+00 7.172133236063235051e-01
1.471471471471471393e+00 7.065470875185675403e-01
1.501501501501501412e+00 6.957586948825094098e-01
1.531531531531531432e+00 6.848534749720880388e-01
1.561561561561561451e+00 6.738368019395436503e-01
1.591591591591591470e+00 6.627140915250969710e-01
1.621621621621621712e+00 6.514907977459115651e-01
1.651651651651651731e+00 6.401724095665881631e-01
1.681681681681681750e+00 6.287644475534436284e-01
1.711711711711711770e+00 6.172724605148502963e-01
1.741741741741741789e+00 6.057020221299030949e-01
1.771771771771771808e+00 5.940587275676969536e-01
1.801801801801801828e+00 5.823481900994988969e-01
1.831831831831831847e+00 5.705760377060979938e-01
1.861861861861861867e+00 5.587479096826224456e-01
1.891891891891891886e+00 5.468694532431062072e-01
1.921921921921921905e+00 5.349463201270906465e-01
1.951951951951951925e+00 5.229841632105360905e-01
1.981981981981981944e+00 5.109886331233186585e-01
2.012012012012012185e+00 4.989653748755735752e-01
2.042042042042042205e+00 4.869200244951443768e-01
2.072072072072072224e+00 4.748582056783769989e-01
2.102102102102102243e+00 4.627855264564961213e-01
2.132132132132132263e+00 4.507075758797777221e-01
2.162162162162162282e+00 4.386299207217228546e-01
2.192192192192192302e+00 4.265581022054156790e-01
2.222222222222222321e+00 4.144976327542329586e-01
2.252252252252252340e+00 4.024539927690515828e-01
2.282282282282282360e+00 3.904326274340774727e-01
2.312312312312312379e+00 3.784389435533980772e-01
2.342342342342342398e+00 3.664783064203328000e-01
2.372372372372372418e+00 3.545560367216332165e-01
2.402402402402402437e+00 3.426774074785549629e-01
2.432432432432432456e+00 3.308476410267932044e-01
2.462462462462462476e+00 3.190719060372462224e-01
2.492492492492492495e+00 3.073553145795364649e-01
2.522522522522522515e+00 2.957029192301880993e-01
2.552552552552552534e+00 2.841197102273221309e-01
2.582582582582582553e+00 2.726106126736989599e-01
2.612612612612612573e+00 2.611804837898957787e-01
2.642642642642642592e+00 2.498341102193732122e-01
2.672672672672672611e+00 2.385762053871406108e-01
2.702702702702702631e+00 2.274114069136942973e-01
2.732732732732732650e+00 2.163442740858567970e-01
2.762762762762762669e+00 2.053792853861038381e-01
2.792792792792792689e+00 1.945208360819219440e-01
2.822822822822822708e+00 1.837732358766943352e-01
2.852852852852852727e+00 1.731407066235659820e-01
2.882882882882882747e+00 1.626273801036925704e-01
2.912912912912912766e+00 1.522372958702286894e-01
2.942942942942942786e+00 1.419743991593637733e-01
2.972972972972972805e+00 1.318425388696619349e-01
3.003003003003002824e+00 1.218454656109134310e-01
3.033033033033032844e+00 1.119868298236525866e-01
3.063063063063062863e+00 1.022701799704451853e-01
3.093093093093092882e+00 9.269896079999620508e-02
3.123123123123122902e+00 8.327651168507424484e-02
3.153153153153152921e+00 7.400606503519449597e-02
3.183183183183182940e+00 6.489074478494943898e-02
3.213213213213213404e+00 5.593356495881767615e-02
3.243243243243243423e+00 4.713742831322972893e-02
3.273273273273273443e+00 3.850512505660803886e-02
3.303303303303303462e+00 3.003933164804774639e-02
3.333333333333333481e+00 2.174260967524229218e-02
3.363363363363363501e+00 1.361740481220371536e-02
3.393393393393393520e+00 5.666045857268781766e-03
3.423423423423423539e+00 -2.109256148176356493e-03
3.453453453453453559e+00 -9.706408719877586064e-03
3.483483483483483578e+00 -1.712343864948395397e-02
3.513513513513513598e+00 -2.435849264165044006e-02
3.543543543543543617e+00 -3.140983786927283028e-02
3.573573573573573636e+00 -3.827586244671345866e-02
3.603603603603603656e+00 -4.495507582093611482e-02
3.633633633633633675e+00 -5.144610908052557607e-02
3.663663663663663694e+00 -5.774771518262708514e-02
3.693693693693693714e+00 -6.385876909789792166e-02
3.723723723723723733e+00 -6.977826787362281791e-02
3.753753753753753752e+00 -7.550533061520170452e-02
3.783783783783783772e+00 -8.103919838627637873e-02
3.813813813813813791e+00 -8.637923402781993998e-02
3.843843843843843811e+00 -9.152492189656970256e-02
3.873873873873873830e+00 -9.647586752324122106e-02
3.903903903903903849e+00 -1.012317971910161873e-01
3.933933933933933869e+00 -1.057925574348540371e-01
