x y
0.000000000000000000e+00 1.000000000000000000e+00
3.003003003003002977e-02 9.998497063263214191e-01
6.006006006006005954e-02 9.993989066213666561e-01
9.009009009009008584e-02 9.986478447810041015e-01
1.201201201201201191e-01 9.975969271237976610e-01
1.501501501501501523e-01 9.962467221293125341e-01
1.801801801801801717e-01 9.945979600719985214e-01
2.102102102102102188e-01 9.926515325509096543e-01
2.402402402402402382e-01 9.904084919155883293e-01
2.702702702702702853e-01 9.878700505885191774e-01
3.003003003003003046e-01 9.850375802846245143e-01
3.303303303303303240e-01 9.819126111283504876e-01
3.603603603603603434e-01 9.784968306689625361e-01
3.903903903903903627e-01 9.747920827947419431e-01
4.204204204204204376e-01 9.708003665468392107e-01
4.504504504504504570e-01 9.665238348336240293e-01
4.804804804804804763e-01 9.619647930464237939e-01
5.105105105105105512e-01 9.571256975776266662e-01
5.405405405405405705e-01 9.520091542421850184e-01
5.705705705705705899e-01 9.466179166036229331e-01
6.006006006006006093e-01 9.409548842057250395e-01
6.306306306306306286e-01 9.350231007111367010e-01
6.606606606606606480e-01 9.288257519481871727e-01
6.906906906906906674e-01 9.223661638672941976e-01
7.207207207207206867e-01 9.156478004083860034e-01
7.507507507507507061e-01 9.086742612808283992e-01
7.807807807807807254e-01 9.014492796574089528e-01
8.108108108108108558e-01 8.939767197839936230e-01
8.408408408408408752e-01 8.862605745065216256e-01
8.708708708708708945e-01 8.783049627170675944e-01
9.009009009009009139e-01 8.701141267207562757e-01
9.309309309309309333e-01 8.616924295253642896e-01
9.609609609609609526e-01 8.530443520555015535e-01
9.909909909909909720e-01 8.441744902933171479e-01
1.021021021021021102e+00 8.350875523477190310e-01
1.051051051051051122e+00 8.257883554541542992e-01
1.081081081081081141e+00 8.162818229070372134e-01
1.111111111111111160e+00 8.065729809269606143e-01
1.141141141141141180e+00 7.966669554648742047e-01
1.171171171171171199e+00 7.865689689454470335e-01
1.201201201201201219e+00 7.762843369518850345e-01
1.231231231231231238e+00 7.658184648545007800e-01
1.261261261261261257e+00 7.551768443853816848e-01
1.291291291291291277e+00 7.443650501615312054e-01
1.321321321321321296e+00 7.333887361588964371e-01
1.351351351351351315e+00 7.222536321397254877e-01
1.381381381381381335e+00 7.109655400357300925e-01
1.411411411411411354e+00 6.995303302895576891e-01
1.441441441441441373e+00 6.879539381571043721e-01
1.471471471471471393e+00 6.762423599732247936e-01
1.501501501501501412e+00 6.644016493834190573e-01
1.531531531531531432e+00 6.524379135440981914e-01
1.561561561561561451e+00 6.403573092940498812e-01
1.591591591591591470e+00 6.281660392997422404e-01
1.621621621621621712e+00 6.158703481771207189e-01
1.651651651651651731e+00 6.034765185925680120e-01
1.681681681681681750e+00 5.909908673457039407e-01
1.711711711711711770e+00 5.784197414367203693e-01
1.741741741741741789e+00 5.657695141209457823e-01
1.771771771771771808e+00 5.530465809533461341e-01
1.801801801801801828e+00 5.402573558256694719e-01
1.831831831831831847e+00 5.274082669989461625e-01
1.861861861861861867e+00 5.145057531340544443e-01
1.891891891891891886e+00 5.015562593230611377e-01
1.921921921921921905e+00 4.885662331240430700e-01
1.951951951951951925e+00 4.755421206020878366e-01
1.981981981981981944e+00 4.624903623791671303e-01
