x y
1.000000000000000082e-05 2.682680958706152729e-14
1.015086966647673593e-05 2.730917776974006142e-14
1.030401549857975174e-05 2.780021933055198063e-14
1.045947183674393579e-05 2.830009022399622999e-14
1.061727353949717342e-05 2.880894920876241353e-14
1.077745599127677295e-05 2.932695789815235046e-14
1.094005511036393499e-05 2.985428081140866999e-14
1.110510735693770760e-05 3.039108542596558134e-14
1.127264974125066012e-05 3.093754223063986816e-14
1.144271983192781552e-05 3.149382477977802339e-14
1.161535576439078441e-05 3.206010974837692053e-14
1.179059624940900985e-05 3.263657698819576748e-14
1.196848058178002885e-05 3.322340958487685575e-14
1.214904864914067336e-05 3.382079391609345702e-14
1.233234094091122315e-05 3.442891971074328231e-14
1.251839855737446398e-05 3.504798010920617754e-14
1.270726321889185842e-05 3.567817172468568880e-14
1.289897727525848938e-05 3.631969470565281775e-14
1.309358371519941421e-05 3.697275279941342414e-14
1.329112617600914857e-05 3.763755341681809460e-14
1.349164895333661994e-05 3.831430769813573274e-14
1.369519701111772999e-05 3.900323058011160175e-14
1.390181599165778262e-05 3.970454086423104947e-14
1.411155222586601870e-05 4.041846128621078929e-14
1.432445274364453450e-05 4.114521858673946542e-14
1.454056528443407561e-05 4.188504358349082119e-14
1.475993830791865304e-05 4.263817124443058024e-14
1.498262100489194251e-05 4.340484076244259354e-14
1.520866330828747966e-05 4.418529563129619504e-14
1.543811590437531070e-05 4.497978372297975079e-14
1.567103024412754155e-05 4.578855736642455339e-14
1.590745855475537716e-05 4.661187342764438720e-14
1.614745385142022106e-05 4.744999339131607117e-14
1.639106994912144569e-05 4.830318344382670221e-14
1.663836147476349138e-05 4.917171455781430074e-14
1.688938387940518593e-05 5.005586257822893820e-14
1.714419345069352756e-05 5.095590830994025289e-14
1.740284732548540419e-05 5.187213760692138755e-14
1.766540350265955966e-05 5.280484146303590488e-14
1.793192085612188005e-05 5.375431610445722237e-14
1.820245914800691373e-05 5.472086308374993091e-14
1.847707904207853571e-05 5.570478937564265836e-14
1.875584211733280206e-05 5.670640747452307328e-14
1.903881088180599306e-05 5.772603549368577546e-14
1.932604878659116533e-05 5.876399726636543546e-14
1.961762024006578117e-05 5.982062244858520411e-14
1.991359062233437926e-05 6.089624662385574549e-14
2.021402629988896334e-05 6.199121140975636577e-14
2.051899464049058497e-05 6.310586456643243043e-14
2.082856402827545797e-05 6.424056010704374172e-14
2.114280387908898550e-05 6.539565841019910378e-14
2.146178465605110520e-05 6.657152633441205044e-14
2.178557788535645558e-05 6.776853733461499508e-14
2.211425617231312438e-05 6.898707158076878435e-14
2.244789321762292000e-05 7.022751607860348903e-14
2.278656383390773648e-05 7.149026479253188193e-14
2.313034396248498680e-05 7.277571877077211754e-14
2.347931069039621772e-05 7.408428627272035661e-14
2.383354226769259244e-05 7.541638289861372532e-14
2.419311812498118832e-05 7.677243172152476862e-14
2.455811889123600582e-05 7.815286342172907484e-14
2.492862641187768691e-05 7.955811642348912445e-14
2.530472376712594753e-05 8.098863703429741590e-14
2.568649529062916941e-05 8.244487958662414271e-14
2.607402658837451904e-05 8.392730658221186899e-14
2.646740455788387927e-05 8.543638883896636511e-14
2.686671740769915786e-05 8.697260564048815838e-14
2.727205467716158421e-05 8.853644488829244602e-14
2.768350725648945312e-05 9.012840325676656996e-14
2.810116740715874035e-05 9.174898635091330668e-14
2.852512878259123521e-05 9.339870886693076197e-14
2.895548644915478116e-05 9.507809475567961025e-14
2.939233690748028626e-05 9.678767738908930136e-14
2.983577811410062654e-05 9.852799972955758439e-14
3.028590950341545046e-05 1.002996145023936462e-13
3.074283200998794216e-05 1.021030843713642751e-13
3.120664809117766050e-05 1.039389821173952541e-13
3.167746175011494565e-05 1.058078908204863078e-13
3.215537855902188426e-05 1.077104040448968059e-13
3.264050568288516589e-05 1.096471260276616459e-13
3.313295190348605540e-05 1.116186718704962845e-13
3.363282764379285471e-05 1.136256677351526752e-13
3.414024499272170875e-05 1.156687510422886544e-13
3.465531773027030917e-05 1.177485706739110431e-13
3.517816135303142793e-05 1.198657871794609139e-13
3.570889310009109200e-05 1.220210729856036762e-13
3.624763197931751125e-05 1.242151126097913946e-13
3.679449879404662102e-05 1.264486028776648006e-13
3.734961617017026360e-05 1.287222531443650776e-13
3.791310858363303252e-05 1.310367855198243056e-13
3.848510238834385808e-05 1.333929350981070922e-13
3.906572584450910358e-05 1.357914501908769487e-13
3.965510914739236965e-05 1.382330925650580184e-13
4.025338445650893489e-05 1.407186376847729599e-13
4.086068592526026743e-05 1.432488749576292860e-13
4.147714973101573595e-05 1.458246079854353124e-13
4.210291410564813387e-05 1.484466548194230152e-13
4.273811936652991496e-05 1.511158482200608720e-13
4.338290794799704530e-05 1.538330359215381985e-13
4.403742443328747831e-05 1.565990809010042842e-13
4.470181558696202520e-05 1.594148616526516893e-13
4.537623038781287929e-05 1.622812724667209737e-13
4.606082006227096804e-05 1.651992237135321989e-13
4.675573811831494533e-05 1.681696421326137590e-13
4.746114037989332282e-05 1.711934711270363305e-13
4.817718502186532452e-05 1.742716710630364052e-13
4.890403260546900903e-05 1.774052195750284131e-13
4.964184611432445918e-05 1.805951118761004505e-13
5.039079099098021800e-05 1.838423610740937037e-13
5.115103517401102778e-05 1.871479984933645251e-13
5.192274913567520737e-05 1.905130740023321025e-13
5.270610592014065952e-05 1.939386563469180487e-13
5.350128118228657606e-05 1.974258334899765126e-13
5.430845322709154058e-05 2.009757129568321187e-13
5.512780304961540804e-05 2.045894221870294596e-13
5.595951437558447506e-05 2.082681088924067295e-13
5.680377370258892628e-05 2.120129414216084063e-13
5.766077034190188779e-05 2.158251091311520923e-13
5.853069646092932352e-05 2.197058227631675034e-13
5.941374712630034951e-05 2.236563148299268056e-13
6.031012034760815764e-05 2.276778400052917853e-13
6.122001712180970734e-05 2.317716755231946541e-13
6.214364147829645713e-05 2.359391215832883253e-13
6.308120052464449791e-05 2.401815017638891471e-13
