x y
1.000000000000000082e-05 1.257070714185675115e-03
1.015086966647673593e-05 1.213240788002748535e-03
1.030401549857975174e-05 1.170939067359511379e-03
1.045947183674393579e-05 1.130112268749125124e-03
1.061727353949717342e-05 1.090708966485591340e-03
1.077745599127677295e-05 1.052679527927647936e-03
1.094005511036393499e-05 1.015976050961170862e-03
1.110510735693770760e-05 9.805523036614043845e-04
1.127264974125066012e-05 9.463636660589296685e-04
1.144271983192781552e-05 9.133670739360774194e-04
1.161535576439078441e-05 8.815209645829792488e-04
1.179059624940900985e-05 8.507852244449206095e-04
1.196848058178002885e-05 8.211211385950626870e-04
1.214904864914067336e-05 7.924913419688827754e-04
1.233234094091122315e-05 7.648597722989093975e-04
1.251839855737446398e-05 7.381916246904720062e-04
1.270726321889185842e-05 7.124533077812296921e-04
1.289897727525848938e-05 6.876124014293049334e-04
1.309358371519941421e-05 6.636376158766601249e-04
1.329112617600914857e-05 6.404987523363301488e-04
1.349164895333661994e-05 6.181666649538442287e-04
1.369519701111772999e-05 5.966132240949305072e-04
1.390181599165778262e-05 5.758112809132548632e-04
1.411155222586601870e-05 5.557346331535673381e-04
1.432445274364453450e-05 5.363579921471840718e-04
1.454056528443407561e-05 5.176569509582142114e-04
1.475993830791865304e-05 4.996079536404495966e-04
1.498262100489194251e-05 4.821882655661398104e-04
1.520866330828747966e-05 4.653759447893185798e-04
1.543811590437531070e-05 4.491498144075927747e-04
1.567103024412754155e-05 4.334894358875880237e-04
1.590745855475537716e-05 4.183750833204458305e-04
1.614745385142022106e-05 4.037877185749469563e-04
1.639106994912144569e-05 3.897089673169661138e-04
1.663836147476349138e-05 3.761210958650486867e-04
1.688938387940518593e-05 3.630069888529496381e-04
1.714419345069352756e-05 3.503501276710246633e-04
1.740284732548540419e-05 3.381345696592802223e-04
1.766540350265955966e-05 3.263449280259033618e-04
1.793192085612188005e-05 3.149663524659645293e-04
1.820245914800691373e-05 3.039845104558817012e-04
1.847707904207853571e-05 2.933855692000864892e-04
1.875584211733280206e-05 2.831561782071495147e-04
1.903881088180599306e-05 2.732834524734210685e-04
1.932604878659116533e-05 2.637549562529957828e-04
1.961762024006578117e-05 2.545586873935793380e-04
1.991359062233437926e-05 2.456830622184984323e-04
2.021402629988896334e-05 2.371169009358310904e-04
2.051899464049058497e-05 2.288494135562731471e-04
2.082856402827545797e-05 2.208701863020011609e-04
2.114280387908898550e-05 2.131691684894134798e-04
2.146178465605110520e-05 2.057366598692287403e-04
2.178557788535645558e-05 1.985632984079918010e-04
2.211425617231312438e-05 1.916400484955963748e-04
2.244789321762292000e-05 1.849581895639803577e-04
2.278656383390773648e-05 1.785093051026407241e-04
2.313034396248498680e-05 1.722852720571467163e-04
2.347931069039621772e-05 1.662782505972903513e-04
2.383354226769259244e-05 1.604806742419883671e-04
2.419311812498118832e-05 1.548852403284959331e-04
2.455811889123600582e-05 1.494849008139280833e-04
2.492862641187768691e-05 1.442728533975017849e-04
2.530472376712594753e-05 1.392425329523164267e-04
2.568649529062916941e-05 1.343876032558774612e-04
2.607402658837451904e-05 1.297019490089552115e-04
2.646740455788387927e-05 1.251796681327144124e-04
2.686671740769915786e-05 1.208150643344194390e-04
2.727205467716158421e-05 1.166026399323495351e-04
2.768350725648945312e-05 1.125370889308850052e-04
2.810116740715874035e-05 1.086132903370425735e-04
2.852512878259123521e-05 1.048263017100414200e-04
2.895548644915478116e-05 1.011713529357740417e-04
2.939233690748028626e-05 9.764384021834205914e-05
2.983577811410062654e-05 9.423932028108471107e-05
3.028590950341545046e-05 9.095350476980311244e-05
3.074283200998794216e-05 8.778225485112098130e-05
3.120664809117766050e-05 8.472157599918551322e-05
3.167746175011494565e-05 8.176761296413775850e-05
3.215537855902188426e-05 7.891664491601654678e-05
3.264050568288516589e-05 7.616508075797794172e-05
3.313295190348605540e-05 7.350945460292793740e-05
3.363282764379285471e-05 7.094642140786995197e-05
3.414024499272170875e-05 6.847275276046682526e-05
3.465531773027030917e-05 6.608533281251486712e-05
3.517816135303142793e-05 6.378115435520108378e-05
3.570889310009109200e-05 6.155731503120468904e-05
3.624763197931751125e-05 5.941101367887011365e-05
3.679449879404662102e-05 5.733954680384661462e-05
3.734961617017026360e-05 5.534030517375018428e-05
3.791310858363303252e-05 5.341077053155831607e-05
3.848510238834385808e-05 5.154851242359844847e-05
3.906572584450910358e-05 4.975118513813255885e-05
3.965510914739236965e-05 4.801652475068564894e-05
4.025338445650893489e-05 4.634234627239170557e-05
4.086068592526026743e-05 4.472654089776856285e-05
4.147714973101573595e-05 4.316707334845349965e-05
4.210291410564813387e-05 4.166197930955421920e-05
4.273811936652991496e-05 4.020936295538571798e-05
4.338290794799704530e-05 3.880739456147659297e-05
4.403742443328747831e-05 3.745430819983712906e-05
4.470181558696202520e-05 3.614839951458459580e-05
4.537623038781287929e-05 3.488802357512811884e-05
4.606082006227096804e-05 3.367159280420155000e-05
4.675573811831494533e-05 3.249757497814332815e-05
4.746114037989332282e-05 3.136449129689722803e-05
4.817718502186532452e-05 3.027091452130702042e-05
4.890403260546900903e-05 2.921546717535714307e-05
4.964184611432445918e-05 2.819681981109558507e-05
5.039079099098021800e-05 2.721368933405300612e-05
5.115103517401102778e-05 2.626483738704910744e-05
5.192274913567520737e-05 2.534906879035045795e-05
5.270610592014065952e-05 2.446523003621423251e-05
5.350128118228657606e-05 2.361220783592357466e-05
5.430845322709154058e-05 2.278892771748181108e-05
5.512780304961540804e-05 2.199435267220098240e-05
5.595951437558447506e-05 2.122748184847941287e-05
5.680377370258892628e-05 2.048734929112285249e-05
5.766077034190188779e-05 1.977302272462141481e-05
