x y
1.000000000000000082e-05 7.302088555873151107e-11
1.015086966647673593e-05 7.301610193321287733e-11
1.030401549857975174e-05 7.301131862107130846e-11
1.045947183674393579e-05 7.300653562228631882e-11
1.061727353949717342e-05 7.300175293683738399e-11
1.077745599127677295e-05 7.299697056470394078e-11
1.094005511036393499e-05 7.299218850586549061e-11
1.110510735693770760e-05 7.298740676030150907e-11
1.127264974125066012e-05 7.298262532799145882e-11
1.144271983192781552e-05 7.297784420891484128e-11
1.161535576439078441e-05 7.297306340305111911e-11
1.179059624940900985e-05 7.296828291037975496e-11
1.196848058178002885e-05 7.296350273088027613e-11
1.214904864914067336e-05 7.295872286453211940e-11
1.233234094091122315e-05 7.295394331131482500e-11
1.251839855737446398e-05 7.294916407120784265e-11
1.270726321889185842e-05 7.294438514419064792e-11
1.289897727525848938e-05 7.293960653024275519e-11
1.309358371519941421e-05 7.293482822934366587e-11
1.329112617600914857e-05 7.293005024147284262e-11
1.349164895333661994e-05 7.292527256660978688e-11
1.369519701111772999e-05 7.292049520473401300e-11
1.390181599165778262e-05 7.291571815582499655e-11
1.411155222586601870e-05 7.291094141986223898e-11
1.432445274364453450e-05 7.290616499682522878e-11
1.454056528443407561e-05 7.290138888669348031e-11
1.475993830791865304e-05 7.289661308944650793e-11
1.498262100489194251e-05 7.289183760506380014e-11
1.520866330828747966e-05 7.288706243352484545e-11
1.543811590437531070e-05 7.288228757480915821e-11
1.567103024412754155e-05 7.287751302889626571e-11
1.590745855475537716e-05 7.287273879576566937e-11
1.614745385142022106e-05 7.286796487539685769e-11
1.639106994912144569e-05 7.286319126776935797e-11
1.663836147476349138e-05 7.285841797286267162e-11
1.688938387940518593e-05 7.285364499065631301e-11
1.714419345069352756e-05 7.284887232112982234e-11
1.740284732548540419e-05 7.284409996426268811e-11
1.766540350265955966e-05 7.283932792003443761e-11
1.793192085612188005e-05 7.283455618842459811e-11
1.820245914800691373e-05 7.282978476941267105e-11
1.847707904207853571e-05 7.282501366297818370e-11
1.875584211733280206e-05 7.282024286910067627e-11
1.903881088180599306e-05 7.281547238775965019e-11
